Player,p_balls,p_runs_bowler,p_wickets,p_Economy,p_Strike Rate,p_Average,p_Economy+,p_Strike Rate+,p_Average+,d_balls,d_runs_bowler,d_wickets,d_Economy,d_Strike Rate,d_Average,d_Economy+,d_Strike Rate+,d_Average+,2024 Team,2025 Team,Retained,Winning_Bid,Wkts,SR,Total_Balls,Total_Runs,High Leverage Economy,High Leverage Economy+
Anrich Nortje,36,69,2,11.5,18.0,34.5,82.89,134.18,104.44,47,148,3,18.89,15.67,49.33,63.33,95.16,56.21,DC,KKR,No,6.5,7,18.85,83,217,15.686746987951807,63.80632341962508
Axar Patel,24,54,2,13.5,12.0,27.0,70.61,201.27,133.45,6,7,0,7.0,,,170.9,,,DC,DC,Yes,16.5,11,24.0,30,61,12.2,82.04210259959693
Akash Madhwal,43,56,2,7.81,21.5,28.0,122.05,112.34,128.68,16,40,0,15.0,,,79.76,,,MI,RR,No,1.2,5,21.8,59,96,9.76271186440678,102.52414140831574
Arshad Khan,48,66,1,8.25,48.0,66.0,115.54,50.32,54.59,1,6,0,36.0,,,33.23,,,RR,LSG,No,9.75,19,17.31,49,72,8.816326530612246,113.52955771768296
Arshdeep Singh,170,238,7,8.4,24.29,34.0,113.48,99.45,105.97,97,175,9,10.82,10.78,19.44,110.57,138.32,142.62,PBKS,PBKS,No,18.0,19,15.89,267,413,9.280898876404494,107.84662833249679
Avesh Khan,79,134,5,10.18,15.8,26.8,93.63,152.87,134.45,121,174,8,8.63,15.12,21.75,138.62,98.57,127.5,RR,LSG,No,9.75,19,17.31,200,308,9.24,108.32398828085307
Azmatullah Omarzai,112,162,3,8.68,37.33,54.0,109.81,64.69,66.72,6,16,0,16.0,,,74.77,,,GT,PBKS,No,2.4,4,31.5,118,178,9.050847457627118,110.58783792357654
Bhuvneshwar Kumar,245,327,10,8.01,24.5,32.7,119.0,98.58,110.19,74,149,1,12.08,74.0,149.0,99.03,20.15,18.61,SRH,RCB,No,10.75,11,31.09,319,476,8.952978056426332,111.79672790515103
DL Chahar,126,169,5,8.05,25.2,33.8,118.41,95.84,106.6,1,6,0,36.0,,,33.23,,,CSK,MI,No,9.25,5,28.2,127,175,8.26771653543307,121.06288930268141
G Coetzee,73,119,3,9.78,24.33,39.67,97.46,99.26,90.84,43,53,6,7.4,7.17,8.83,161.67,208.02,313.95,MI,GT,No,2.4,13,15.46,116,172,8.896551724137932,112.50579806099763
HH Pandya,54,95,2,10.56,27.0,47.5,90.26,89.45,75.86,28,67,3,14.36,9.33,22.33,83.31,159.73,124.17,MI,MI,Yes,16.35,11,19.63,82,162,11.853658536585366,84.4392175315193
HV Patel,44,71,1,9.68,44.0,71.0,98.47,54.89,50.75,113,182,14,9.66,8.07,13.0,123.84,184.7,213.32,PBKS,SRH,No,8.0,24,12.25,157,253,9.668789808917198,103.52005488752829
Harpreet Brar,18,29,0,9.67,,,98.57,,,12,17,1,8.5,12.0,17.0,140.75,124.23,163.13,PBKS,PBKS,No,1.5,7,32.57,30,46,9.200000000000001,108.79496214294373
Harshit Rana,88,139,4,9.48,22.0,34.75,100.55,109.79,103.69,72,110,6,9.17,12.0,18.33,130.46,124.23,151.26,KKR,KKR,Yes,4.0,19,13.31,160,249,9.337499999999999,107.1928944273181
I Sharma,120,167,7,8.35,17.14,23.86,114.15,140.89,151.03,21,38,2,10.86,10.5,19.0,110.16,141.98,145.96,DC,GT,No,0.75,10,16.2,141,205,8.72340425531915,114.7388820258753
JD Unadkat,12,29,0,14.5,,,65.74,,,42,80,2,11.43,21.0,40.0,104.67,70.99,69.33,SRH,SRH,No,1.0,8,23.37,54,109,12.11111111111111,82.64424647188756
JJ Bumrah,134,126,6,5.64,22.33,21.0,169.01,108.15,171.58,91,90,10,5.93,9.1,9.0,201.74,163.82,308.13,MI,MI,Yes,18.0,20,15.55,225,216,5.76,173.76973120053515
K Rabada,124,170,4,8.23,31.0,42.5,115.82,77.91,84.78,31,54,2,10.45,15.5,27.0,114.48,96.18,102.71,PBKS,GT,No,10.75,11,22.9,155,224,8.670967741935483,115.43275001178408
KH Pandya,31,53,0,10.26,,,92.9,,,19,29,0,9.16,,,130.6,,,LSG,RCB,No,5.75,6,33.0,50,82,9.84,101.71886704421571
KR Sen,12,25,0,12.5,,,76.26,,,15,28,1,11.2,15.0,28.0,106.82,99.39,99.04,RR,PBKS,No,0.8,6,12.0,27,53,11.777777777777779,84.98323457958247
KT Maphaka,25,51,1,12.24,25.0,51.0,77.88,96.61,70.65,8,18,0,13.5,,,88.62,,,MI,RR,No,1.5,1,36.0,33,69,12.545454545454545,79.78297223815875
Kuldeep Yadav,6,20,0,20.0,,,47.66,,,30,58,3,11.6,10.0,19.33,103.13,149.08,143.44,DC,DC,Yes,13.25,16,16.12,36,78,13.0,76.99335782423712
LH Ferguson,24,62,2,15.5,12.0,31.0,61.5,201.27,116.23,31,63,2,12.19,15.5,31.5,98.14,96.18,88.04,RCB,PBKS,No,2.0,9,16.0,55,125,13.636363636363637,73.40033445910605
M Jansen,28,48,1,10.29,28.0,48.0,92.63,86.26,75.07,9,15,0,10.0,,,119.63,,,SRH,PBKS,No,7.0,1,60.0,37,63,10.216216216216216,97.97302940068269
Mitchell Starc,185,292,11,9.47,16.82,26.55,100.65,143.61,135.73,50,106,6,12.72,8.33,17.67,94.05,178.9,156.97,KKR,DC,No,11.75,17,14.76,235,398,10.161702127659574,98.49862150462496
MM Sharma,25,51,1,12.24,25.0,51.0,77.88,96.61,70.65,102,184,7,10.82,14.57,26.29,110.57,102.31,105.5,GT,DC,No,2.2,13,18.0,127,235,11.10236220472441,90.15321543816701
MP Stoinis,25,29,1,6.96,25.0,29.0,136.95,96.61,124.25,6,15,0,15.0,,,79.76,,,LSG,PBKS,No,11.0,4,21.0,31,44,8.516129032258064,117.5315272847256
MP Yadav,12,19,1,9.5,12.0,19.0,100.34,201.27,189.64,1,0,1,0.0,1.0,0.0,inf,1490.8,inf,LSG,LSG,Yes,11.0,7,10.42,13,19,8.769230769230768,114.13927607277259
MR Marsh,12,16,0,8.0,,,119.15,,,13,37,0,17.08,,,70.04,,,DC,LSG,No,3.4,1,48.0,25,53,12.72,78.68818016628006
Mohammad Siraj,175,265,5,9.09,35.0,53.0,104.86,69.01,67.98,96,125,5,7.81,19.2,25.0,153.18,77.65,110.93,RCB,GT,No,12.25,15,21.6,271,390,8.634686346863468,115.917777613157
Mohsin Khan,116,164,5,8.48,23.2,32.8,112.4,104.11,109.85,70,142,3,12.17,23.33,47.33,98.3,63.89,58.59,LSG,GT,No,1.3,1,61.0,186,306,9.870967741935484,101.39974902995934
Mohsin Khan,116,164,5,8.48,23.2,32.8,112.4,104.11,109.85,70,142,3,12.17,23.33,47.33,98.3,63.89,58.59,LSG,LSG,Yes,4.0,10,22.8,186,306,9.870967741935484,101.39974902995934
Mukesh Kumar,67,113,4,10.12,16.75,28.25,94.19,144.2,127.54,84,153,8,10.93,10.5,19.12,109.45,141.98,145.0,DC,DC,No,8.0,17,12.52,151,266,10.56953642384106,94.69797080762999
N Thushara,85,124,6,8.75,14.17,20.67,108.94,170.49,174.35,53,89,2,10.08,26.5,44.5,118.68,56.26,62.32,MI,RCB,No,1.6,8,19.5,138,213,9.26086956521739,108.07987788472721
NT Ellis,6,3,0,3.0,,,317.73,,,6,8,0,8.0,,,149.54,,,PBKS,CSK,No,2.0,1,24.0,12,11,5.5,181.98430031183318
Nithish Kumar Reddy,7,8,0,6.86,,,138.95,,,8,19,1,14.25,8.0,19.0,83.95,186.35,145.96,SRH,SRH,Yes,6.0,3,26.33,15,27,10.8,92.67718997361875
Noor Ahmad,6,6,1,6.0,6.0,6.0,158.87,402.55,600.52,6,14,1,14.0,6.0,14.0,85.45,248.47,198.09,GT,CSK,No,10.0,8,26.12,12,20,10.0,100.09136517150824
PJ Cummins,116,178,5,9.21,23.2,35.6,103.5,104.11,101.21,95,174,4,10.99,23.75,43.5,108.86,62.77,63.75,SRH,SRH,Yes,18.0,18,20.33,211,352,10.009478672985782,99.99658168176249
R Ashwin,67,95,2,8.51,33.5,47.5,112.01,72.1,75.86,38,79,1,12.47,38.0,79.0,95.94,39.23,35.1,RR,CSK,No,9.75,9,36.66,105,174,9.942857142857143,100.66660290237898
R Sai Kishore,12,19,1,9.5,12.0,19.0,100.34,201.27,189.64,13,36,1,16.62,13.0,36.0,71.98,114.68,77.03,GT,GT,No,2.0,7,12.85,25,55,13.200000000000001,75.82679179659715
R Shepherd,13,22,1,10.15,13.0,22.0,93.91,185.79,163.78,13,40,0,18.46,,,64.81,,,MI,RCB,No,1.5,1,72.0,26,62,14.307692307692307,69.95633049621544
RJW Topley,37,56,1,9.08,37.0,56.0,104.98,65.28,64.34,25,57,2,13.68,12.5,28.5,87.45,119.26,97.3,RCB,MI,No,0.75,4,22.5,62,113,10.935483870967742,91.52897700049427
Rashid Khan,54,58,3,6.44,18.0,19.33,148.01,134.18,186.37,42,62,4,8.86,10.5,15.5,135.03,141.98,178.92,GT,GT,Yes,18.0,10,26.2,96,120,7.5,133.45515356201102
Ravi Bishnoi,12,29,0,14.5,,,65.74,,,19,42,2,13.26,9.5,21.0,90.22,156.93,132.06,LSG,LSG,Yes,11.0,10,26.2,31,71,13.741935483870968,72.8364394440553
SH Johnson,38,52,1,8.21,38.0,52.0,116.1,63.56,69.29,24,31,2,7.75,12.0,15.5,154.37,124.23,178.92,GT,KKR,No,2.8,4,24.0,62,83,8.032258064516128,124.61173977175729
SM Curran,117,165,3,8.46,39.0,55.0,112.67,61.93,65.51,63,129,7,12.29,9.0,18.43,97.34,165.64,150.48,PBKS,CSK,No,2.4,16,15.37,180,294,9.8,102.13404609337576
SP Narine,43,64,1,8.93,43.0,64.0,106.74,56.17,56.3,12,21,2,10.5,6.0,10.5,113.94,248.47,264.11,KKR,KKR,Yes,12.0,17,19.41,55,85,9.272727272727273,107.94166832221477
Sandeep Sharma,91,114,4,7.52,22.75,28.5,126.75,106.17,126.43,79,131,7,9.95,11.29,18.71,120.23,132.1,148.19,RR,RR,Yes,4.0,13,17.53,170,245,8.647058823529411,115.75191890582587
Simarjeet Singh,6,12,0,12.0,,,79.43,,,21,35,0,10.0,,,119.63,,,PBKS,PBKS,Yes,5.5,1,6.0,27,47,10.444444444444445,95.83215814293344
Simarjeet Singh,6,12,0,12.0,,,79.43,,,21,35,0,10.0,,,119.63,,,CSK,SRH,No,1.5,5,14.4,27,47,10.444444444444445,95.83215814293344
Simarjeet Singh,6,12,0,12.0,,,79.43,,,21,35,0,10.0,,,119.63,,,RCB,RCB,No,0.5,6,15.0,27,47,10.444444444444445,95.83215814293344
T Natarajan,103,137,4,7.98,25.75,34.25,119.45,93.8,105.2,105,164,11,9.37,9.55,14.91,127.68,156.18,186.01,SRH,DC,No,10.75,19,16.21,208,301,8.682692307692307,115.27687683097297
Trent Boult,234,267,12,6.85,19.5,22.25,139.15,123.86,161.94,54,86,4,9.56,13.5,21.5,125.14,110.43,128.99,RR,MI,No,12.5,16,20.0,288,353,7.354166666666666,136.10157303774494
TU Deshpande,154,205,6,7.99,25.67,34.17,119.3,94.1,105.46,91,142,8,9.36,11.38,17.75,127.81,131.06,156.24,CSK,RR,No,6.5,17,16.94,245,347,8.49795918367347,117.7828264506221
VG Arora,163,211,9,7.77,18.11,23.44,122.68,133.36,153.69,25,32,2,7.68,12.5,16.0,155.77,119.26,173.32,KKR,KKR,No,1.8,11,16.36,188,243,7.75531914893617,129.06156825955796
Yash Dayal,185,269,6,8.72,30.83,44.83,109.31,78.33,80.37,85,131,6,9.25,14.17,21.83,129.33,105.23,127.02,RCB,RCB,Yes,5.0,15,20.06,270,400,8.88888888888889,112.60278581794678
Yash Thakur,55,87,5,9.49,11.0,17.4,100.44,219.57,207.08,72,132,4,11.0,18.0,33.0,108.76,82.82,84.04,LSG,PBKS,No,1.6,11,19.36,127,219,10.346456692913385,96.73975172588698
